"Rk","Pick","Year","Height","Name","Del","TeamName","Team","Conf","G","Role","Min%","PRPG!","D-PRPG","BPM","OBPM","DBPM","ORtg","D-Rtg","Usg","eFG","TS","OR","DR","Ast","TO","A/TO","Blk","Stl","FTR","FC/40","Dunks","","Close 2","","Far 2","","FT","","2P","","3PR","3P/100","3P","3pp"
"40","-","Sr","6-5","Mac Riniker","0","Cal Poly","BW","28","Wing G","62.1","1.1","2.0","-1.1","-1.8","0.8","99.7","109.3","21.6","56.3","57.7","6.1","14.0","18.9","27.1","0.9","2.7","2.8","37.6","6.5","7-8",".875","78-120",".650","3-10",".300","46-74",".622","81-130",".623","34.0","5.0","20-67",".299"
"41","-","Sr","6-5","Ryan Rapp","0","Hawaii","BW","24","Wing G","58.6","1.1","2.2","1.3","0.4","0.9","106.4","107.0","17.5","52.0","55.8","4.0","15.5","11.9","19.0","1.0","1.0","1.4","33.1","2.9","0-0",".000","26-40",".650","18-40",".450","38-50",".760","44-80",".550","47.0","6.9","23-71",".324"
"42","-","Sr","6-9","Zachary Visentin","0","Cal St. Fullerton","BW","25","C","36.1","1.1","0.8","-2.3","-0.8","-1.5","106.3","116.7","21.9","48.5","56.7","10.0","10.4","9.0","17.8","0.5","1.9","0.7","65.0","5.0","2-2","1.000","42-75",".560","8-26",".308","53-67",".791","50-101",".495","1.9","0.3","0-2",".000"
"43","-","Jr","6-4","Ben Shtolzberg","67.8","UC Santa Barbara","BW","26","Combo G","30.3","1.1","1.2","0.9","-0.2","1.2","126.2","105.9","14.6","51.8","62.7","1.9","14.9","19.6","16.5","2.5","1.0","1.7","58.2","2.4","0-0",".000","13-23",".565","11-21",".524","31-32",".969","24-44",".545","20.0","2.0","3-11",".273"
"44","-","Sr","6-2","Deuce Turner","0","UC Santa Barbara","BW","27","Combo G","49.5","1.0","1.7","-3.1","-1.7","-1.5","99.6","107.3","26.6","47.1","51.6","0.7","10.4","14.5","15.4","1.1","0.0","2.0","24.8","2.5","0-0",".000","28-44",".636","27-68",".397","47-55",".855","55-112",".491","49.5","12.5","33-110",".300"
"45","-","So","6-4","Jaden Alexander","0","Cal St. Bakersfield","BW","22","Wing G","33.5","0.9","0.9","-3.0","-0.3","-2.7","110.4","116.7","16.8","40.7","49.7","9.0","6.9","7.0","12.2","1.1","0.7","1.4","60.5","4.2","0-0",".000","17-40",".425","6-22",".273","40-52",".769","23-62",".371","27.9","3.8","8-24",".333"
"46","-","Jr","6-9","Grady Lewis","0","Cal St. Northridge","BW","26","C","32.3","0.9","1.3","-3.2","-2.1","-1.1","110.7","104.2","20.6","55.8","56.1","14.1","17.5","5.1","15.0","0.7","2.2","1.1","33.6","7.2","1-3",".333","50-86",".581","13-27",".481","21-38",".553","63-113",".558","0.0","0.0","0-0",".000"
"47","-","So","6-9","Kaleb Smith","0","UC Riverside","BW","28","Wing F","66.6","0.9","2.0","-3.4","-1.4","-2.0","96.0","110.9","22.7","42.3","46.2","4.6","13.7","7.7","14.7","0.7","0.0","1.2","25.9","2.9","2-3",".667","30-60",".500","22-82",".268","55-74",".743","52-142",".366","50.3","11.2","46-144",".319"
"48","-","Fr","6-9","Davis Bynum","0","Cal St. Fullerton","BW","9","Wing F","12.3","0.8","1.3","4.3","3.3","1.0","99.7","106.9","25.0","46.5","48.1","7.8","15.3","12.5","10.6","0.7","2.8","3.5","15.8","3.9","3-3","1.000","9-24",".375","4-10",".400","6-9",".667","13-34",".382","40.4","10.1","9-23",".391"
"49","-","So","6-9","Rikus Schulte","0","UC Riverside","BW","28","PF/C","37.9","0.8","1.2","-1.5","-0.9","-0.6","115.9","109.8","13.4","55.7","56.8","10.6","16.0","5.2","16.3","0.8","1.0","1.0","14.8","4.4","5-5","1.000","37-56",".661","6-15",".400","9-13",".692","43-71",".606","19.3","2.3","4-17",".235"
"50","-","Jr","6-10","Kyle Evans","0","UC Irvine","BW","28","C","31.2","0.8","1.9","4.9","0.1","4.8","116.6","88.3","15.8","65.4","67.8","8.5","20.6","5.9","20.5","0.6","9.8","1.0","30.9","3.6","8-8","1.000","51-65",".785","2-13",".154","20-25",".800","53-78",".679","3.7","0.5","0-3",".000"
"51","-","So","6-4","Justin Rochelin","56.6","UC San Diego","BW","27","Wing G","49.0","0.8","2.3","-1.2","-2.0","0.8","108.3","97.9","16.6","56.0","57.4","4.7","15.9","7.2","16.2","1.0","1.8","1.8","22.6","6.1","14-15",".933","30-45",".667","1-5",".200","20-30",".667","31-50",".620","62.4","9.3","29-83",".349"
