RK,Pick,YEAR,HEIGHT,PLAYER,TEAM,CONF,POS,Role,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,D-Rtg,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,Dunks,Close 2,Far 2,FT,2P,3PR,3P/100,3P
1,-,Sr,6-7,Darren Fells,UC Irvine,BW,null,69.5,4.4,3.0,5.9,5.0,0.9,119.7,99.5,24.6,57.1,61.9,12.2,19.8,15.8,14.8,1.1,1.8,3.1,55.3,3.6,0-0,0.000,0.000,0.000,0.743,0.553,0.9,8-13,0.615
2,-,Sr,5-11,Josh Akognon,Cal St. Fullerton,BW,null,83.0,4.3,2.4,4.1,5.9,-1.7,113.5,106.1,27.6,53.0,57.8,1.9,9.5,10.0,12.9,0.7,0.2,2.0,24.8,2.5,0-0,0.000,0.000,0.000,0.893,0.480,17.1,239-637,0.375
3,-,Sr,6-6,Aniwaniwa Tait-Jones,UC San Diego,BW,Wing G,71.0,4.3,3.1,6.4,5.1,1.4,120.3,101.5,27.3,58.7,62.9,5.4,16.5,21.9,15.9,1.5,1.5,2.2,70.5,2.9,15-17,0.882,0.667,0.296,0.757,0.597,2.2,23-67,0.343
4,-,Sr,6-3,Corey Hawkins,UC Davis,BW,Combo G,62.2,4.2,2.3,5.4,5.5,-0.1,112.4,106.2,28.9,54.0,59.2,3.1,15.4,22.4,15.3,1.3,0.8,2.6,46.1,2.6,2-2,1.000,0.603,0.435,0.800,0.504,8.6,172-428,0.402
5,38,Jr,6-5,Ajay Mitchell,UC Santa Barbara,BW,Scoring PG,74.7,4.0,2.7,3.5,3.3,0.2,114.7,105.9,25.7,53.8,58.6,1.0,9.8,27.0,15.8,2.0,0.9,2.0,47.8,3.0,4-4,1.000,0.622,0.473,0.822,0.552,4.1,63-194,0.325
6,-,Jr,6-4,Jemel Jones,Cal St. Bakersfield,BW,Combo G,62.6,3.8,1.6,4.6,6.1,-1.5,113.2,114.6,33.8,51.4,55.3,4.0,12.5,21.6,13.9,1.0,1.3,1.8,27.6,3.4,1-1,1.000,0.550,0.492,0.850,0.506,6.7,32-88,0.364
7,36,Sr,6-5,Orlando Johnson,UC Santa Barbara,BW,Wing G,77.6,3.8,2.7,5.3,5.9,-0.6,107.0,102.4,29.8,52.3,56.5,6.7,14.1,21.1,16.9,1.0,1.9,1.8,44.2,2.9,31-33,0.939,0.664,0.385,0.726,0.489,8.8,215-552,0.389
8,-,So,6-7,Lamine Diane,Cal St. Northridge,BW,PF/C,68.4,3.8,2.8,1.8,2.9,-1.1,99.9,105.4,36.7,49.3,51.3,8.6,24.7,15.7,13.2,0.8,6.1,2.5,40.4,3.8,100-106,0.943,0.701,0.336,0.578,0.497,2.3,22-75,0.293
9,-,Sr,6-6,Alex Harris,UC Santa Barbara,BW,null,78.3,3.8,3.2,4.1,4.7,-0.6,108.0,98.4,30.4,51.5,58.2,3.9,10.4,12.7,15.6,0.7,0.6,2.1,51.5,2.7,0-0,0.000,0.000,0.000,0.812,0.434,10.3,74-175,0.423
10,-,Sr,6-7,Alan Williams,UC Santa Barbara,BW,PF/C,60.3,3.6,3.5,5.2,4.1,1.0,108.1,92.6,31.4,48.8,53.3,15.9,27.3,9.8,13.1,0.6,8.1,2.2,49.8,4.2,12-13,0.923,0.615,0.417,0.701,0.489,0.1,0-3,0.000
11,-,Sr,6-4,Donovan Morris,Long Beach St.,BW,null,75.6,3.5,2.0,2.2,4.3,-2.1,106.1,109.1,27.8,51.5,57.9,2.5,13.2,16.8,17.9,0.8,0.7,1.6,43.7,1.3,0-0,0.000,0.000,0.000,0.843,0.502,10.1,112-316,0.354
12,-,Sr,6-8,Mark Payne,UC Davis,BW,Wing F,74.3,3.3,2.2,3.1,3.4,-0.3,116.0,107.9,20.0,57.2,64.0,5.0,13.5,25.8,21.3,1.8,1.2,2.6,64.3,1.8,22-24,0.917,0.672,0.421,0.816,0.596,2.4,44-142,0.310
13,-,Sr,6-5,Stephan Hicks,Cal St. Northridge,BW,Wing G,77.3,3.3,2.2,2.5,3.7,-1.2,113.2,108.3,23.1,50.7,58.0,7.5,15.4,8.1,14.2,0.6,1.0,2.2,55.9,2.9,75-90,0.833,0.649,0.381,0.814,0.511,2.6,54-168,0.321
14,-,Sr,6-4,Frank Robinson,Cal St. Fullerton,BW,null,74.4,3.2,2.8,3.5,3.6,-0.2,110.9,100.0,25.1,52.0,55.5,7.6,17.9,14.5,16.6,1.1,1.5,2.1,37.2,3.6,0-0,0.000,0.000,0.000,0.743,0.527,8.5,51-150,0.340
15,-,Jr,6-8,Kyle Austin,UC Riverside,BW,Wing F,46.4,3.2,2.6,1.9,3.6,-1.7,102.7,102.9,29.4,47.7,51.4,9.5,15.5,12.6,13.8,0.7,0.8,1.1,42.5,2.8,8-8,1.000,0.625,0.397,0.664,0.465,5.1,46-131,0.351
16,-,Sr,6-8,Christian Standhardinger,Hawaii,BW,Wing F,43.4,3.1,2.8,3.4,3.3,0.0,109.7,99.0,27.3,49.9,55.9,11.1,19.5,9.8,16.2,0.6,1.9,2.5,59.4,3.5,2-2,1.000,0.703,0.429,0.735,0.507,2.9,31-104,0.298
17,-,So,6-8,Marcus Adams Jr.,Cal St. Northridge,BW,Wing F,68.5,3.1,2.8,4.8,4.6,0.1,119.7,104.7,21.7,60.4,61.7,6.0,12.6,9.6,14.3,0.9,1.7,1.9,16.3,3.1,10-13,0.769,0.658,0.550,0.759,0.614,9.3,53-135,0.393
18,-,Sr,6-5,Owen Koonce,Cal Poly,BW,Wing G,73.2,3.1,2.2,1.9,2.8,-0.9,112.8,111.5,23.9,60.4,63.3,5.0,13.0,11.2,20.7,0.6,1.7,2.0,27.0,3.6,16-18,0.889,0.688,0.493,0.903,0.615,8.6,57-145,0.393
19,50,Sr,6-7,James Ennis,Long Beach St.,BW,Wing F,77.8,3.1,3.2,6.6,4.3,2.4,111.4,96.5,21.3,57.0,61.1,5.8,13.6,15.7,21.9,1.0,3.4,3.1,37.6,3.2,47-50,0.940,0.735,0.384,0.798,0.605,7.9,94-266,0.353
20,-,Sr,5-9,TJ Shorts II,UC Davis,BW,Scoring PG,73.2,3.1,3.4,4.1,1.9,2.1,106.5,99.6,27.2,51.7,56.1,1.9,14.3,31.1,18.6,1.6,0.8,3.3,56.4,2.8,2-2,1.000,0.589,0.397,0.743,0.525,2.2,22-72,0.306
21,-,Sr,6-3,Deishuan Booker,Long Beach St.,BW,Scoring PG,71.7,3.1,2.4,2.4,2.3,0.1,109.4,107.6,24.6,52.7,61.5,1.8,10.8,28.1,25.1,1.3,0.5,2.5,62.5,3.1,3-4,0.750,0.649,0.363,0.897,0.513,5.2,68-183,0.372
22,-,Sr,6-8,Jalen Canty,UC Santa Barbara,BW,C,38.5,3.0,2.6,2.8,2.5,0.2,115.3,102.7,22.0,56.5,58.0,13.2,16.9,8.8,13.1,0.8,6.0,1.1,49.9,3.9,14-14,1.000,0.675,0.420,0.623,0.565,0.0,0-0,0.000
23,-,So,6-0,Barrington Hargress,UC Riverside,BW,Scoring PG,75.2,3.0,2.4,2.4,2.6,-0.3,106.7,110.1,27.4,46.8,49.5,1.3,8.9,29.8,11.4,2.6,0.3,2.1,26.9,2.3,3-3,1.000,0.563,0.399,0.710,0.469,8.8,90-290,0.310
24,-,Sr,6-4,D.J. Seeley,Cal St. Fullerton,BW,Scoring PG,42.4,3.0,2.0,2.7,3.3,-0.6,107.4,104.2,25.9,52.4,56.9,5.7,12.3,17.4,18.7,1.0,0.7,2.8,40.6,3.7,12-12,1.000,0.619,0.342,0.761,0.452,8.5,135-321,0.421
25,-,Sr,6-4,Elijah Pepper,UC Davis,BW,Combo G,76.0,2.9,3.1,3.7,3.3,0.4,105.2,101.7,26.2,50.3,54.6,3.8,15.5,14.9,16.1,0.9,0.7,2.9,28.5,2.4,0-0,0.000,0.575,0.375,0.852,0.478,10.4,273-765,0.357
26,-,Sr,6-7,E.J. Anosike,Cal St. Fullerton,BW,Wing F,57.0,2.9,2.4,1.5,2.3,-0.8,111.5,103.5,22.8,50.4,56.9,12.4,19.9,8.9,15.2,0.8,1.4,1.5,52.1,3.3,36-46,0.783,0.607,0.346,0.743,0.517,2.7,47-165,0.285
27,-,Sr,6-7,Stephen Maxwell,Cal St. Northridge,BW,PF/C,73.5,2.9,2.0,-0.4,2.4,-2.8,111.4,108.8,23.0,52.6,57.6,12.8,17.4,4.4,14.8,0.3,0.7,1.6,54.5,3.4,84-86,0.977,0.636,0.349,0.731,0.526,0.0,0-0,0.000
28,-,Sr,7-0,Bent Leuchten,UC Irvine,BW,PF/C,36.7,2.9,2.8,8.1,5.3,2.7,121.5,92.4,24.9,56.5,62.4,11.0,23.3,11.0,12.8,1.0,5.3,1.3,62.9,3.2,14-14,1.000,0.628,0.432,0.785,0.574,3.6,40-114,0.351
29,-,Sr,6-5,Tyler McGhie,UC San Diego,BW,Wing G,46.0,2.9,2.6,3.4,4.2,-0.8,116.5,104.9,21.0,55.7,57.4,1.4,11.8,9.9,5.7,3.0,0.9,1.5,12.9,1.8,0-0,0.000,0.540,0.494,0.750,0.506,15.3,168-431,0.390
30,-,Sr,6-3,Max Heidegger,UC Santa Barbara,BW,Scoring PG,54.6,2.9,2.0,0.1,2.0,-1.9,107.8,110.2,25.0,46.6,51.8,1.5,8.4,17.2,11.3,1.8,0.1,1.0,40.1,2.4,0-0,0.000,0.549,0.319,0.778,0.437,11.3,168-507,0.331
31,-,Sr,6-5,James Nunnally,UC Santa Barbara,BW,Wing G,73.4,2.8,2.7,2.3,3.0,-0.7,108.2,100.5,24.0,53.8,58.5,4.1,16.4,15.8,19.0,0.9,0.8,1.2,41.3,2.7,34-35,0.971,0.685,0.376,0.791,0.509,8.1,180-465,0.387
32,-,So,6-8,Isaac Fotu,Hawaii,BW,C,69.9,2.8,2.1,1.8,2.6,-0.9,118.1,106.6,19.9,58.8,61.6,9.8,15.2,6.4,15.8,0.6,2.7,0.7,45.5,3.0,24-24,1.000,0.735,0.532,0.709,0.599,0.4,1-11,0.091
33,-,Sr,6-0,Joel Murray,Long Beach St.,BW,Combo G,55.0,2.7,2.7,0.6,1.0,-0.3,100.6,103.7,27.2,45.4,50.0,1.9,9.8,21.0,15.5,1.3,0.3,2.5,33.4,2.0,0-0,0.000,0.579,0.355,0.805,0.451,4.0,33-106,0.311
34,-,Sr,6-9,Collin Welp,UC Irvine,BW,Wing F,53.9,2.7,2.9,6.2,4.6,1.6,109.4,93.0,27.1,50.0,53.8,6.4,22.0,14.1,13.0,1.0,1.9,1.9,25.3,2.8,7-9,0.778,0.611,0.427,0.827,0.493,5.7,87-250,0.348
35,-,Sr,6-3,Darren Moore,UC Irvine,BW,Wing G,55.8,2.7,2.3,2.8,2.8,-0.1,110.8,104.8,21.8,54.0,59.2,5.6,13.3,12.9,16.1,1.0,1.0,2.5,56.1,4.0,10-10,1.000,0.661,0.416,0.743,0.528,6.4,84-225,0.373
36,-,Sr,6-3,Kwame Vaughn,Cal St. Fullerton,BW,Combo G,76.8,2.7,2.0,0.1,1.4,-1.3,105.2,107.2,24.8,50.3,57.0,2.1,13.8,18.4,19.9,1.0,0.5,1.7,52.7,3.4,24-24,1.000,0.642,0.345,0.795,0.491,6.8,145-415,0.349
37,-,Sr,6-8,Bryan LeDuc,Pacific,BW,null,49.8,2.7,1.9,5.1,5.3,-0.2,123.3,100.4,20.5,62.2,65.2,9.9,17.1,3.3,13.8,0.3,2.0,2.1,41.8,3.3,0-0,0.000,0.000,0.000,0.773,0.665,7.2,53-144,0.368
38,-,Sr,6-2,Isaac Jessup,Cal Poly,BW,Combo G,65.6,2.7,2.1,2.8,2.4,0.3,122.5,111.9,15.2,62.5,63.3,2.8,9.3,14.3,15.3,1.9,0.3,2.7,9.5,3.0,0-0,0.000,0.655,0.273,0.762,0.550,12.0,77-180,0.428
39,-,Sr,5-10,Kaleb Higgins,Cal St. Bakersfield,BW,Scoring PG,52.2,2.7,2.0,1.7,2.7,-0.9,103.4,109.4,28.2,43.8,48.8,2.0,8.2,26.4,12.8,1.9,0.0,2.1,28.0,2.3,1-1,1.000,0.497,0.413,0.850,0.438,8.5,79-269,0.294
40,-,Sr,6-5,Scott Cutley,Cal St. Fullerton,BW,null,76.8,2.7,3.0,2.0,2.0,0.0,106.5,100.3,23.0,53.2,54.8,7.3,18.9,15.5,18.4,1.1,0.6,2.1,37.5,2.5,0-0,0.000,0.000,0.000,0.606,0.539,1.9,11-35,0.314
41,-,Sr,6-7,Chris Eversley,Cal Poly,BW,Wing F,53.2,2.6,2.5,2.1,3.1,-1.0,105.2,102.3,26.6,47.1,50.7,9.2,19.3,12.8,12.5,1.0,0.8,1.9,34.0,2.9,31-36,0.861,0.631,0.344,0.697,0.481,7.0,83-280,0.296
42,-,Sr,6-5,Larry Anderson,Long Beach St.,BW,Wing G,72.9,2.6,3.2,4.9,2.9,2.0,107.0,97.7,21.8,53.2,57.1,5.8,12.1,19.2,20.4,1.2,1.4,3.0,58.1,2.6,42-45,0.933,0.679,0.345,0.675,0.544,3.8,80-242,0.331
43,-,Jr,6-11,Stefan Jankovic,Hawaii,BW,PF/C,27.9,2.6,2.6,5.3,3.3,1.9,114.3,93.4,25.1,55.8,60.6,9.1,18.9,9.8,16.0,0.7,5.8,1.5,53.6,6.0,20-22,0.909,0.667,0.500,0.753,0.571,6.6,61-173,0.353
44,-,Sr,5-10,Devon Peltier,Cal St. Fullerton,BW,Combo G,66.9,2.6,1.2,1.1,3.2,-2.1,114.4,113.4,19.5,55.8,59.9,2.0,4.9,7.2,13.8,0.7,0.1,1.5,27.4,2.9,0-1,0.000,0.475,0.449,0.871,0.455,12.2,141-342,0.412
45,-,Sr,6-9,Amadou Sow,UC Santa Barbara,BW,PF/C,62.2,2.6,2.7,1.2,1.6,-0.5,108.1,98.6,25.9,56.1,61.1,11.5,22.3,5.3,18.6,0.3,3.4,1.5,38.1,4.1,75-80,0.938,0.723,0.399,0.749,0.571,1.8,27-89,0.303
46,-,Sr,6-9,Dominic Calegari,UC Davis,BW,Wing F,60.5,2.6,1.9,2.0,3.0,-1.0,108.6,106.7,23.9,56.2,58.8,5.6,15.9,14.8,16.4,0.9,2.9,1.9,35.5,4.3,17-21,0.810,0.757,0.374,0.748,0.539,8.6,128-323,0.396
47,-,Jr,6-1,Evan Payne,Long Beach St.,BW,Wing G,65.5,2.6,1.9,1.3,2.9,-1.6,102.5,110.3,27.5,48.4,54.9,3.1,9.4,12.1,17.6,0.6,0.6,2.0,37.5,2.6,24-30,0.800,0.561,0.398,0.825,0.463,8.3,125-356,0.351
48,-,Sr,6-8,Chris Devine,UC Santa Barbara,BW,null,69.7,2.5,3.1,2.0,1.6,0.5,105.1,95.9,25.4,51.9,57.9,8.9,16.1,11.7,20.2,0.6,1.5,2.3,50.9,3.4,0-0,0.000,0.000,0.000,0.782,0.532,1.8,14-53,0.264
49,-,Sr,6-2,Stephan Swenson,UC Santa Barbara,BW,Pure PG,67.1,2.5,2.1,0.7,1.4,-0.7,108.4,109.9,24.6,50.4,52.4,2.4,10.5,34.2,19.7,2.2,0.4,2.9,25.0,3.0,2-2,1.000,0.475,0.429,0.805,0.456,7.7,168-437,0.384
50,-,Sr,5-9,Casper Ware,Long Beach St.,BW,Scoring PG,81.6,2.5,3.0,1.6,1.4,0.2,101.6,100.7,24.2,46.9,52.6,1.6,7.2,25.4,20.6,1.4,0.4,2.6,40.5,2.8,3-3,1.000,0.580,0.345,0.780,0.432,8.2,203-584,0.348
51,-,Sr,6-5,Michael Bryson,UC Santa Barbara,BW,Wing G,74.4,2.5,2.8,3.5,2.9,0.6,106.1,101.8,22.1,54.8,58.3,4.1,13.9,12.8,18.8,0.9,2.5,1.6,25.5,3.6,59-64,0.922,0.724,0.373,0.814,0.545,10.6,227-619,0.367
52,-,Sr,6-9,Sam Willard,Pacific,BW,PF/C,59.3,2.5,3.1,2.7,2.0,0.7,108.7,95.9,21.7,51.0,55.0,11.2,23.3,11.0,17.1,0.9,2.1,1.7,37.5,3.6,10-10,1.000,0.654,0.424,0.735,0.509,2.3,39-112,0.348
53,-,Sr,6-2,Reese Morgan,Cal Poly,BW,Combo G,40.6,2.5,1.6,3.9,3.5,0.4,118.7,106.1,20.3,49.1,57.1,3.8,11.5,12.3,10.0,2.0,0.7,2.3,48.5,4.4,0-0,0.000,0.425,0.224,0.867,0.331,13.4,148-405,0.365
54,-,Sr,6-4,Chad Troyer,Pacific,BW,null,69.4,2.5,1.9,0.9,2.7,-1.8,112.1,107.4,20.2,55.2,57.7,1.7,8.1,11.8,15.3,1.1,0.1,1.1,20.8,2.1,0-0,0.000,0.000,0.000,0.807,0.462,13.5,153-384,0.398
55,-,Sr,6-6,Chima Moneke,UC Davis,BW,PF/C,54.2,2.5,3.6,3.2,1.9,1.3,101.9,93.7,29.5,52.4,57.0,10.6,29.3,7.7,18.5,0.3,5.0,1.8,58.8,3.9,34-35,0.971,0.611,0.419,0.674,0.522,0.9,9-23,0.391
56,-,Sr,6-10,Miles Norris,UC Santa Barbara,BW,Stretch 4,55.2,2.5,2.8,3.9,2.9,1.0,113.2,98.7,18.5,54.7,58.3,5.8,16.6,8.2,12.5,1.1,2.8,1.9,27.0,2.7,67-76,0.882,0.663,0.381,0.769,0.545,7.4,127-347,0.366
57,-,Sr,6-3,Gabe Vincent,UC Santa Barbara,BW,Scoring PG,65.7,2.5,2.5,2.5,2.1,0.4,107.8,105.4,22.0,50.1,52.5,1.9,8.2,17.6,12.7,1.9,0.5,2.0,22.6,3.7,5-7,0.714,0.588,0.353,0.773,0.444,11.6,230-626,0.367
58,-,Sr,6-8,T.J. Robinson,Long Beach St.,BW,C,74.7,2.4,3.1,0.5,1.6,-1.0,105.3,97.2,22.7,53.3,55.9,11.3,23.6,5.0,17.6,0.3,0.3,1.1,51.2,3.0,30-35,0.857,0.677,0.396,0.631,0.533,0.4,9-24,0.375
59,-,Sr,6-2,Larry Cunningham,UC Riverside,BW,null,68.8,2.4,2.1,2.2,2.7,-0.5,97.2,106.2,31.6,46.5,52.9,0.6,13.2,15.0,18.5,0.6,1.3,3.1,35.4,2.9,0-0,0.000,0.000,0.000,0.826,0.447,12.0,51-156,0.327
60,-,Sr,6-0,Josh Greene,Cal St. Northridge,BW,Scoring PG,70.8,2.4,1.6,0.6,2.2,-1.7,108.4,111.9,21.5,48.4,55.2,1.8,8.4,19.5,17.9,1.4,0.4,2.0,40.2,2.8,0-0,0.000,0.412,0.367,0.867,0.384,9.5,215-556,0.387
61,-,Sr,6-6,Patrick Sanders,UC Irvine,BW,null,73.8,2.4,2.4,-0.1,1.0,-1.1,99.2,104.6,27.8,50.7,55.9,4.8,17.0,9.8,20.0,0.5,4.6,0.7,31.9,3.1,0-0,0.000,0.000,0.000,0.825,0.471,6.0,39-96,0.406
62,-,Sr,6-9,Andre Kelly,UC Santa Barbara,BW,C,56.2,2.4,2.5,1.4,0.9,0.5,111.1,99.9,18.6,57.8,59.1,7.4,22.1,5.2,14.2,0.6,2.6,1.2,35.9,4.4,49-53,0.925,0.691,0.473,0.655,0.582,0.4,7-24,0.292
63,-,Sr,6-4,JaQuori McLaughlin,UC Santa Barbara,BW,Pure PG,64.5,2.3,2.7,1.4,1.4,0.0,106.2,105.0,20.9,49.4,53.7,1.6,8.9,23.9,18.2,2.0,0.8,1.9,36.8,2.7,10-12,0.833,0.568,0.356,0.788,0.448,7.6,184-501,0.367
64,-,Sr,6-4,David Nwaba,Cal Poly,BW,Wing G,61.5,2.3,2.4,4.2,3.3,0.9,104.0,102.5,27.5,46.4,51.3,7.8,16.0,18.6,13.9,1.2,2.5,2.6,59.7,3.2,51-57,0.895,0.572,0.356,0.649,0.471,0.6,3-21,0.143
65,-,Sr,6-8,Calvin Chitwood,Cal St. Northridge,BW,null,50.8,2.3,2.6,4.0,2.0,2.0,122.2,95.2,17.1,59.1,64.2,7.8,14.3,4.3,11.7,0.6,5.4,2.1,32.6,5.7,0-0,0.000,0.000,0.000,0.770,0.562,5.0,25-57,0.439
66,-,Sr,6-4,Sammy Yeager,Cal St. Fullerton,BW,Wing G,44.2,2.3,1.8,0.7,2.3,-1.6,104.5,107.4,23.6,54.9,56.5,3.9,14.6,14.3,16.2,1.0,1.5,1.9,17.0,3.5,7-7,1.000,0.612,0.400,0.726,0.496,10.4,82-202,0.406
67,-,Sr,6-7,Gabe Levin,Long Beach St.,BW,Wing F,58.3,2.3,2.6,1.3,1.4,-0.1,103.9,104.4,23.4,48.2,53.5,8.4,17.5,9.4,17.5,0.6,3.1,1.6,48.7,3.8,76-85,0.894,0.598,0.347,0.762,0.485,2.9,50-161,0.311
68,-,Sr,6-1,Evan Leonard,UC Irvine,BW,Combo G,49.6,2.3,2.7,4.1,1.8,2.3,110.1,98.0,22.0,52.3,56.4,1.9,10.5,13.9,16.8,1.1,0.7,2.9,32.5,4.0,4-6,0.667,0.599,0.349,0.825,0.482,10.6,186-498,0.373
69,-,Sr,6-0,Mike Caffey,Long Beach St.,BW,Scoring PG,75.7,2.3,2.8,2.5,2.0,0.5,101.2,101.5,24.7,47.7,50.0,3.5,10.4,25.2,19.4,1.5,0.4,2.5,29.2,2.5,0-2,0.000,0.595,0.373,0.665,0.465,7.9,167-504,0.331
70,-,Jr,6-10,Lassina Traore,Long Beach St.,BW,PF/C,48.0,2.3,2.7,0.2,0.7,-0.6,108.6,101.0,21.0,52.9,57.3,13.0,25.9,7.6,18.3,0.6,2.4,1.6,44.8,4.4,23-25,0.920,0.655,0.389,0.693,0.529,0.1,2-5,0.400
71,-,Fr,6-4,Peter Bandelj,Cal Poly,BW,Wing G,57.6,2.3,1.5,-0.1,1.4,-1.5,117.4,114.5,19.5,48.4,58.8,5.1,12.8,13.9,13.6,1.6,0.3,1.0,70.4,3.0,0-0,0.000,0.633,0.200,0.820,0.571,6.4,21-84,0.250
72,-,Sr,6-10,Vander Joaquim,Hawaii,BW,PF/C,68.9,2.3,2.7,1.6,1.4,0.3,105.9,98.5,23.2,52.0,55.8,12.2,22.7,7.1,18.5,0.4,5.1,1.0,48.1,4.2,44-46,0.957,0.775,0.452,0.695,0.521,0.7,10-30,0.333
73,-,Sr,6-5,Malcolm Brooks,Cal St. Fullerton,BW,Combo G,59.4,2.3,1.5,0.9,2.4,-1.5,112.9,112.9,20.1,53.6,57.3,2.1,6.6,11.8,13.3,1.2,0.3,0.8,29.7,3.2,0-0,0.000,0.552,0.440,0.788,0.494,9.1,84-216,0.389
74,-,Sr,6-5,David Hanson,Cal Poly,BW,Wing G,67.6,2.3,2.5,2.4,2.8,-0.4,107.0,102.8,21.5,48.7,50.8,7.5,15.3,12.3,11.9,1.3,0.8,1.9,23.9,2.8,3-4,0.750,0.618,0.309,0.651,0.490,9.1,148-458,0.323
75,-,Sr,6-4,Hayden Gray,UC San Diego,BW,Scoring PG,76.8,2.3,3.7,4.9,1.3,3.5,114.9,98.7,17.1,54.9,57.0,3.0,10.6,19.9,16.3,2.3,1.3,4.5,22.7,2.3,8-9,0.889,0.565,0.311,0.760,0.526,5.5,70-179,0.391
76,-,Jr,6-5,Aaron Valdes,Hawaii,BW,Wing G,52.7,2.3,3.1,4.1,2.7,1.4,108.8,96.5,21.3,51.9,56.4,6.5,14.6,11.0,13.9,1.1,1.8,2.7,41.9,3.3,67-72,0.931,0.710,0.354,0.652,0.523,6.2,74-217,0.341
77,-,Sr,6-3,Luke Nelson,UC Irvine,BW,Scoring PG,60.6,2.3,3.1,4.1,2.7,1.3,104.2,99.4,24.5,51.0,54.4,1.4,9.1,24.6,18.5,1.6,0.6,2.5,25.9,2.7,7-7,1.000,0.597,0.385,0.762,0.474,12.3,244-682,0.358
78,-,Sr,6-4,Phil Martin,UC Riverside,BW,Wing G,80.6,2.3,2.6,0.1,1.4,-1.3,99.6,104.7,26.3,48.3,52.9,4.8,13.4,8.9,17.6,0.5,1.5,1.0,27.1,2.7,17-19,0.895,0.657,0.367,0.837,0.468,5.6,61-172,0.355
79,-,Sr,5-11,Demetrece Young,Pacific,BW,Scoring PG,81.2,2.2,2.5,1.3,1.5,-0.3,110.5,104.2,17.7,52.0,55.6,0.9,6.5,21.2,17.9,2.1,0.0,1.3,26.5,1.5,0-0,0.000,0.625,0.417,0.801,0.446,9.8,120-320,0.375
80,-,Sr,6-2,Kyle Boswell,UC Santa Barbara,BW,Scoring PG,52.5,2.2,1.6,0.8,2.1,-1.3,115.0,108.7,17.1,58.9,61.6,0.7,6.3,13.6,16.8,1.5,0.0,1.2,33.5,2.6,0-0,0.000,0.627,0.347,0.744,0.463,11.5,193-457,0.422
81,-,Sr,6-3,Vince Oliver,UC Davis,BW,null,83.0,2.2,1.4,-2.5,0.8,-3.3,102.3,114.0,22.9,52.5,55.9,2.9,8.8,16.6,17.9,1.0,0.2,1.4,31.6,2.2,0-0,0.000,0.000,0.000,0.779,0.537,6.6,75-224,0.335
82,-,Sr,6-7,Leland King II,UC Santa Barbara,BW,Stretch 4,44.0,2.2,2.4,2.3,2.7,-0.5,105.0,100.9,25.3,50.3,52.4,8.0,24.2,10.9,13.7,1.0,1.6,1.4,23.0,3.0,19-22,0.864,0.625,0.421,0.697,0.503,7.5,95-283,0.336
83,-,Sr,6-4,Kenny Daniels,Cal St. Northridge,BW,Wing G,59.0,2.2,2.1,3.6,3.0,0.7,105.7,100.2,24.7,57.2,61.8,6.0,12.4,15.3,25.1,0.6,0.4,2.7,53.6,3.7,14-17,0.824,0.667,0.433,0.756,0.595,4.4,40-120,0.333
84,-,Sr,6-3,Tre' Coggins,Cal St. Fullerton,BW,Wing G,61.4,2.2,2.2,1.0,2.0,-1.0,102.3,108.1,24.4,51.0,55.1,1.3,10.9,14.7,17.6,0.8,0.6,1.9,26.2,2.8,0-0,0.000,0.571,0.404,0.817,0.461,12.6,233-637,0.366
85,-,Sr,6-2,Garrett Nevels,Hawaii,BW,Wing G,73.6,2.2,2.5,1.7,2.1,-0.3,112.8,104.9,17.6,51.4,53.6,3.0,11.4,9.7,10.6,1.5,1.4,1.5,15.0,2.8,12-13,0.923,0.685,0.408,0.772,0.483,8.2,97-262,0.370
86,-,Sr,6-8,Ivan Elliott,UC Santa Barbara,BW,null,64.1,2.2,3.1,3.8,2.1,1.7,116.3,93.1,17.3,62.4,61.8,8.9,18.2,8.1,16.6,0.7,4.7,2.2,22.5,4.4,0-0,0.000,0.000,0.000,0.694,0.602,4.1,26-57,0.456
87,-,Jr,6-5,Jadon Jones,Long Beach St.,BW,Wing G,62.2,2.2,2.5,3.9,2.2,1.7,116.3,103.3,15.2,54.1,57.8,2.4,11.6,8.6,11.8,1.5,3.3,2.8,26.3,3.1,19-23,0.826,0.700,0.362,0.835,0.502,10.1,208-557,0.373
88,-,Sr,6-1,Dylan Royer,Cal Poly,BW,Combo G,33.2,2.2,1.6,3.1,3.6,-0.5,119.8,105.8,16.3,59.5,60.9,2.6,9.6,8.1,13.0,1.3,0.4,1.9,10.1,2.8,0-0,0.000,0.467,0.254,0.867,0.323,14.4,156-351,0.444
89,-,Sr,6-7,Lenny Daniel,Cal St. Northridge,BW,PF/C,65.3,2.1,2.5,0.8,1.8,-1.0,101.6,100.5,26.1,51.5,54.1,13.5,21.5,5.1,17.3,0.2,5.6,0.9,74.5,4.2,38-41,0.927,0.638,0.363,0.582,0.515,0.0,0-0,0.000
90,-,Sr,6-8,Joe Harden,UC Davis,BW,Wing F,75.5,2.1,2.4,-1.6,-0.2,-1.4,98.4,104.8,26.6,45.5,52.6,6.5,18.7,12.0,17.6,0.7,1.1,2.3,53.5,3.8,10-10,1.000,0.676,0.326,0.768,0.465,3.3,42-157,0.268
