RK,Pick,YEAR,HEIGHT,PLAYER,TEAM,CONF,POS,Role,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,D-Rtg,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,Dunks,Close 2,Far 2,FT,2P,3PR,3P/100,3P
574,-,Sr,6-4,Rogers Printup,UC Davis,BW,Wing G,24.5,0.0,1.3,-2.4,-2.3,-0.1,97.9,105.1,11.4,47.1,54.4,2.3,13.4,6.7,14.1,1.3,1.3,1.5,11.3,3.5,0-0,0.000,0.556,0.474,0.875,0.544,8.2,51-171,0.298
575,-,Jr,6-10,Koat Keat Tong,UC Santa Barbara,BW,PF/C,16.6,0.0,1.2,-3.1,-3.1,0.0,96.3,101.2,15.4,50.8,54.7,15.3,23.4,5.2,29.4,0.5,2.0,1.9,52.1,5.8,0-0,0.000,0.528,0.286,0.581,0.488,2.3,6-16,0.375
576,-,Jr,6-3,Carl Daughtery Jr.,UC Davis,BW,Wing G,32.4,0.0,1.0,-6.3,-3.7,-2.6,89.6,112.8,21.8,41.8,48.7,4.6,9.5,3.7,12.3,0.4,0.7,1.9,19.8,3.7,0-4,0.000,0.476,0.360,0.708,0.401,9.1,56-190,0.295
577,-,Fr,6-3,Max de Geest,Long Beach St.,BW,Combo G,28.8,0.0,0.8,-3.7,-1.8,-1.9,89.6,109.0,15.7,43.1,51.6,1.9,10.6,12.5,20.3,1.1,0.0,1.4,21.8,1.6,0-0,0.000,0.200,0.263,0.789,0.250,9.5,21-63,0.333
578,-,Sr,6-3,Michael Onyebalu,UC Davis,BW,Wing G,23.8,0.0,2.4,-1.7,-2.6,0.9,96.5,102.0,12.1,55.3,61.2,1.3,15.0,7.0,28.0,0.7,0.3,1.6,47.6,4.0,0-0,0.000,0.522,0.321,0.787,0.434,4.9,33-78,0.423
579,-,Sr,6-7,Brandon Rosser,UC Riverside,BW,Stretch 4,48.1,-0.1,1.7,-5.0,-4.7,-0.3,91.1,106.5,17.0,45.7,50.6,5.3,13.8,8.5,20.7,0.7,3.3,0.6,37.4,6.2,3-5,0.600,0.667,0.340,0.660,0.492,4.5,23-89,0.258
580,-,So,6-4,Tom Beattie,Hawaii,BW,Wing G,47.9,-0.1,1.7,-3.7,-3.4,-0.3,94.5,108.8,15.9,45.7,52.5,2.1,9.9,12.0,22.0,1.1,0.4,1.1,31.9,3.2,5-5,1.000,0.564,0.304,0.771,0.487,3.3,17-68,0.250
581,-,Sr,6-10,Jerome Palm,Hawaii,BW,C,24.2,-0.1,1.0,-3.9,-3.3,-0.5,92.1,107.3,15.6,47.1,51.2,8.2,21.3,5.2,19.7,0.6,1.8,0.9,32.9,3.8,9-11,0.818,0.597,0.427,0.517,0.500,0.7,0-11,0.000
582,-,Jr,6-3,Zach Buscher,Hawaii,BW,Wing G,2.1,-0.1,0.2,-3.6,-4.8,1.2,87.3,100.0,16.0,57.1,64.3,3.1,18.6,9.8,24.7,1.8,0.0,2.2,51.0,4.1,0-0,0.000,0.750,0.667,0.556,0.800,2.9,0-4,0.000
583,-,Sr,6-10,Hugh Hogland,UC Davis,BW,PF/C,18.2,-0.1,1.1,-4.5,-4.1,-0.4,86.2,107.6,18.4,51.6,54.4,7.0,15.4,8.0,27.7,0.4,4.1,1.1,49.8,4.2,8-8,1.000,0.573,0.435,0.574,0.521,0.1,0-1,0.000
584,-,Sr,6-6,Quentin Shropshire,Long Beach St.,BW,PF/C,3.9,-0.1,0.2,-6.2,-5.7,-0.5,86.8,111.7,11.2,31.3,31.1,10.5,13.1,7.9,14.0,2.5,3.8,0.5,45.0,9.8,0-0,0.000,0.333,0.300,0.571,0.313,0.0,0-0,0.000
585,-,Sr,6-11,Richard Peters,Cal St. Fullerton,BW,C,22.4,-0.1,1.0,-4.2,-4.2,0.0,94.2,102.5,14.6,56.1,56.5,9.7,17.0,3.1,28.0,0.2,2.6,0.9,36.7,5.8,0-0,0.000,0.636,0.222,0.481,0.561,0.0,0-0,0.000
586,-,Jr,6-7,Tyquan Brown,UC Riverside,BW,PF/C,35.3,-0.1,1.3,-1.7,-2.1,0.5,91.1,101.3,15.8,50.0,48.5,13.1,19.7,6.4,24.9,0.5,5.3,2.5,48.6,4.8,2-2,1.000,0.542,0.308,0.400,0.500,0.0,0-0,0.000
587,-,So,5-11,Jerramy King,Long Beach St.,BW,Pure PG,2.9,-0.1,0.2,-4.2,-5.8,1.6,87.0,98.3,10.1,33.3,42.9,0.0,9.3,16.0,29.8,2.3,0.0,2.3,102.1,6.0,0-0,0.000,1.000,1.000,0.571,1.000,3.1,0-4,0.000
588,-,Sr,6-0,Corey Jackson,Long Beach St.,BW,Wing G,5.3,-0.1,0.3,-6.1,-4.1,-2.1,75.5,102.4,22.1,36.0,41.9,1.6,8.3,6.9,24.6,0.5,0.8,1.3,46.1,2.0,0-0,0.000,0.111,0.368,0.650,0.286,6.3,5-15,0.333
589,-,Sr,6-8,Evans Kipruto,UC Santa Barbara,BW,C,10.6,-0.1,0.7,-3.6,-4.2,0.7,97.2,105.5,13.0,46.8,61.6,9.9,15.7,8.2,23.0,0.8,4.5,1.2,23.9,6.2,6-7,0.857,0.630,0.353,0.600,0.475,0.1,0-1,0.000
590,-,Jr,6-9,Lin Chang,Long Beach St.,BW,Stretch 4,4.1,-0.1,0.4,-3.8,-5.6,1.8,75.3,95.8,18.0,35.3,49.8,7.5,15.5,5.1,35.4,0.3,1.9,2.2,108.6,9.0,0-0,0.000,0.400,0.250,0.765,0.333,4.4,2-8,0.250
